Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Aruba,ABW,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,405463417.11746001,487602457.74641597,596423607.11471498,695304363.03110099,764887117.19448602,872138730.75458705,958463200.20540202,1082979707.6556599,1245688253.1053901,1320474860.3352001,1379960893.8547499,1531944134.0782101,1665100558.65922,1722798882.68156,1873452513.96648,1920111731.84358,1941340782.12291,2021229050.27933,2228491620.1117301,2330726256.9832401,2424581005.5865898,2615083798.8826799,2745251396.6480398,2498882681.56425,2390502793.2960901,2549720670.3910599,2534636871.5083799,2581564245.81006,2649720670.3910599,2691620111.7318401,2646927374.3016801,2700558659.2178798
Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD,537777811.11111104,548888895.55555606,546666677.77777803,751111191.11111104,800000044.44444394,1006666637.7777801,1399999966.6666701,1673333417.7777801,1373333366.6666701,1408888922.2222199,1748886595.5555601,1831108971.11111,1595555475.5555601,1733333264.4444399,2155555497.7777801,2366666615.5555601,2555555566.6666698,2953333417.7777801,3300000108.8888898,3697940409.61098,3641723321.99546,3478787909.09091,,,,,,,,,,,,,,,,,,,,,4055179566.3498101,4515558808.1099396,5226778808.8920898,6209137624.7718096,6971285594.68013,9747879531.8631096,10109225813.6696,12439087076.766701,15856574731.441099,17804292964.1045,19907317065.666698,20561069558.215199,20484885119.734798,19907111418.993801,19046357714.492802,19543976895.424801
Angola,AGO,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,5930503400.8322802,5550483035.9081497,5550483035.9081497,5784341596.36339,6131475065.2383204,7553560459.1042805,7072063345.4478598,8083872012.4732599,8769250549.73596,10201099039.5655,11228764963.1618,10603784541.197001,8307810973.58848,5768720421.6136703,4438321017.3906803,5538749259.9471397,7526446605.5171204,7648377412.8327703,6506229607.2943201,6152922942.98032,9129594818.6074905,8936063723.20121,15285594828.417999,17812705294.417,23552052407.548801,36970918699.252296,52381006892.038002,65266452081.386002,88538611205.143295,70307163678.189499,83799496611.604904,111789686464.25999,128052853643.44701,136709862831.308,145712200312.505,116193649124.47501,101123851090.47301,122123822333.73
Albania,ALB,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,1857338011.8548801,1897050133.42015,2097326250,2080796250,2051236250,2253090000,2028553750,1099559027.7777801,652174990.837304,1185315468.46295,1880951520.3972001,2392764853.4210701,3199641335.93751,2258513974.0967999,2545964540.8838301,3212121650.97755,3480355258.0412202,3922100793.5402999,4348068242.1951199,5611496257.1423101,7184685781.5187597,8052073539.3805799,8896072918.9813995,10677324144.4289,12881353507.853901,12044208085.864,11926957254.628799,12890866742.653299,12319784886.2038,12776280961.155001,13228247844.124701,11386931489.796801,11883682170.823601,13038538300.2644
Andorra,AND,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,78619206.0850963,89409820.359281406,113408231.944085,150820102.798401,186558696.27920401,220127246.37681201,227281024.62074101,254020153.340635,308008897.569444,411578334.15964299,446416105.82501698,388958731.30293798,375895956.38346201,327861832.94663602,330070689.29828203,346737964.77495098,482000594.03588003,611316399.40708804,721425939.15155005,795449332.39634597,1029048481.88051,1106928582.8662901,1210013651.87713,1007025755.00065,1017549124.3323801,1178738991.19295,1223945356.6268201,1180597272.7272699,1211932397.8171301,1239876305.1353099,1434429703.33518,1496912751.67785,1733116883.1168799,2398645598.1941299,2935659299.72684,3255789080.9600801,3543256805.9214702,4016972351.49192,4007353156.5841498,3660530702.9730501,3355695364.23841,3442062830.13622,3164615186.94591,3281585236.3250098,3350736367.25488,2811489408.89431,2877311946.9026499,3012914131.1697102
Arab World,ARB,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,25602178562.539101,28132432225.1838,31705853030.028301,36733034967.560898,43792913097.775398,55448298103.834602,105341592850.765,116516174253.32001,144841302607.40399,167156343957.55099,183563837139.04099,248595600128.17499,338248771411.71899,347656118407.86298,326020360664.888,306261791758.79199,310632323085.70697,307407291560.64801,293367374486.24701,312752951185.987,307570926002.97998,322523097140.70203,446901684405.47498,440649432072.992,471671634103.68201,477133962042.005,487661715245.42999,523928956600.448,578398811758.02405,613432360792.60901,591681589857.12695,644050661585.06299,735188056517.16602,723449066469.79504,729231446595.31799,823341300650.19495,964327345387.53101,1185142919458.1799,1404653310998.6799,1638213879955.77,2078570170452.0801,1796199871252.04,2109932335481.52,2501738923095.2202,2786787184920.6001,2866861303189.5601,2908394129857.6602,2560753811359.54,2513935702899.6499,2586310796347.1201
United Arab Emirates,ARE,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,14720672506.500401,19213022691.052601,24871775164.604301,23775831783.4263,31225463217.758202,43598748449.047897,49333424135.113098,46622718605.284698,42803323345.137604,41807954235.903,40603650231.544502,33943612094.7971,36384908744.211403,36275674203.214401,41464995913.919899,50701443748.297501,51552165622.446198,54239171887.768997,55625170253.336998,59305093979.842003,65743666575.864899,73571233996.186295,78839008444.565506,75674336283.185806,84445473110.959793,104337372362.151,103311640571.81799,109816201497.617,124346358066.71201,147824370319.94601,180617018379.85001,222116541865.21399,257916133424.09799,315474615738.59802,253547358747.44699,289787338325.39099,350666031313.81897,374590605854.323,390107556160.65399,403137100068.073,358135057862.492,357045064669.84302,382575085091.89899
Argentina,ARG,GDP (current US$),NY.GDP.MKTP.CD,,,24450604877.608101,18272123664.4715,25605249381.759701,28344705966.638901,28630474727.902302,24256667553.256901,26436857247.498199,31256284543.615501,31584210365.544701,33293199095.488098,34733000536.286201,52544000116.903702,72436777342.455399,52438647921.9226,51169499890.772202,56781000100.944801,58082870156.263397,69252328953.378906,76961923741.9478,78676842366.421295,84307486836.723999,103979106777.911,79092001998.031998,88416668900.259598,110934442762.694,111106191358.19701,126206817196.091,76636898036.471207,141352368714.69101,189719984268.48499,228788617201.69601,236741715015.01501,257440000000,258031750000,272149750000,292859000000,298948250000,283523000000,284203750000,268696750000,97724004251.860199,127586973492.177,164657930452.78699,198737095012.28201,232557260817.30801,287530508430.56799,361558037110.41901,332976484577.61902,423627422092.48999,530163281574.65802,545982375701.12799,552025140252.24597,526319673731.638,594749285413.21204,554860945013.62,637430331479.46899
Armenia,ARM,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2256838858.4271402,2068526521.9029901,1272577456.12712,1201313201.0127201,1315158670.28285,1468317350.0684099,1596968913.27897,1639492424.3647201,1893726437.2646201,1845482181.44801,1911563665.3900599,2118467913.3787301,2376335048.3997598,2807061008.6908398,3576615240.4161601,4900469950.0903301,6384451606.1421003,9206301700.3961906,11662040713.875299,8647936747.9870396,9260284937.7978191,10142111334.496099,10619320048.585699,11121465767.4067,11609512939.754299,10553337672.9872,10546135160.031,11536590635.826799
American Samoa,ASM,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,514000000,527000000,512000000,503000000,496000000,520000000,563000000,678000000,576000000,574000000,644000000,641000000,643000000,661000000,653000000,634000000
